Area Code,Year Code,Value
115,1986,40850
115,1987,43050
115,1988,44200
115,1989,45350
115,1990,46550
115,1991,48700
115,1992,49762
115,1993,50858
115,1994,52400
115,1995,54100
115,1996,64400
115,1997,66700
115,1998,68000
115,1999,68200
115,2000,68200
115,2001,68200
115,2002,68305
115,2003,68410
115,2004,68564
115,2005,68200
115,2006,70323
115,2007,68565
115,2008,69641
115,2009,70693
115,2010,70998
115,2011,70416
115,2012,70326
115,2013,70474
115,2014,70628
115,2015,70971
115,2016,70855
115,2017,70964
115,2018,71072
115,2019,71181
32,1961,8
32,1962,8
32,1963,8
32,1964,10
32,1965,10
32,1966,15
32,1967,15
32,1968,15
32,1969,15
32,1970,20
32,1971,16
32,1972,16
32,1973,14
32,1974,14
32,1975,12
32,1976,12
32,1977,12
32,1978,10
32,1979,10
32,1980,10
32,1981,10
32,1982,12
32,1983,12
32,1984,15
32,1985,25
32,1986,28
32,1987,28
32,1988,35
32,1989,35
32,1990,38
32,1991,53
32,1992,56
32,1993,60
32,1994,63
32,1995,60
32,1996,69
32,1997,70
32,1998,74
32,1999,80
32,2000,83
32,2001,86
32,2002,88
32,2003,97
32,2004,102
32,2005,107
32,2006,110
32,2007,113
32,2008,118
32,2009,115
32,2010,125
32,2011,206
32,2012,191
32,2013,153
32,2014,154
32,2015,176
32,2016,182
32,2017,187
32,2018,192
32,2019,197
37,1961,16000
37,1962,17000
37,1963,17000
37,1964,17000
37,1965,17000
37,1966,17000
37,1967,17000
37,1968,17000
37,1969,15000
37,1970,15000
37,1971,15000
37,1972,15000
37,1973,15000
37,1974,15000
37,1975,15500
37,1976,15500
37,1977,16000
37,1978,16000
37,1979,16000
37,1980,16500
37,1981,16500
37,1982,17000
37,1983,17300
37,1984,17800
37,1985,17800
37,1986,18100
37,1987,18600
37,1988,19400
37,1989,19900
37,1990,20600
37,1991,20991
37,1992,21400
37,1993,22400
37,1994,23497
37,1995,25725
37,1996,26739
37,1997,28000
37,1998,28182
37,1999,29300
37,2000,30405
37,2001,29719
37,2002,28300
37,2003,26100
37,2004,26794
37,2005,27200
37,2006,27791
37,2007,28187
37,2008,28500
37,2009,29793
37,2010,31050
37,2011,33793
37,2012,38300
37,2013,40660
37,2014,43159
37,2015,40925
37,2016,42331
37,2017,43365
37,2018,44298
37,2019,45166
40,1961,67000
40,1962,71000
40,1963,62000
40,1964,67000
40,1965,71000
40,1966,66000
40,1967,71000
40,1968,79000
40,1969,78000
40,1970,83000
40,1971,85000
40,1972,95000
40,1973,104900
40,1974,112100
40,1975,116800
40,1976,116500
40,1977,119700
40,1978,119300
40,1979,124885
40,1980,125900
40,1981,129515
40,1982,136950
40,1983,136376
40,1984,130000
40,1985,139800
40,1986,149200
40,1987,154050
40,1988,156000
40,1989,171500
41,1961,180000
41,1963,178000
214,1961,54927
214,1962,67141
214,1963,78680
214,1964,102341
214,1965,114434
214,1966,136693
214,1967,155315
214,1968,175588
214,1969,170105
44,1961,68000
44,1962,72000
44,1963,75000
44,1964,78000
44,1965,80000
44,1966,81000
44,1967,83000
44,1968,87000
44,1969,89000
44,1970,91000
44,1971,93000
44,1972,95000
44,1973,100000
44,1974,105000
44,1975,117378
44,1990,160952
46,1961,2000
46,1962,2000
46,1963,2000
46,1964,2000
46,1965,2000
46,1966,2200
46,1967,2200
46,1968,2300
46,1969,2300
46,1970,2400
46,1971,2400
46,1972,2500
46,1973,2600
46,1974,2700
46,1975,2800
46,1976,2800
46,1977,2900
46,1978,3000
46,1979,3000
46,1980,3000
46,1981,3000
46,1982,3000
46,1983,2900
46,1984,2900
46,1985,2900
46,1986,2850
46,1987,2850
46,1988,2850
46,1989,2800
46,1990,3082
46,1991,2697
46,1992,2600
46,1993,2520
46,1994,2500
46,1995,2469
46,1996,11260
46,1997,11354
46,1998,11853
46,1999,12635
46,2000,12527
46,2001,12600
46,2002,10402
46,2003,11852
46,2004,12246
46,2005,12200
46,2006,12224
46,2007,11900
46,2008,12417
46,2009,12944
46,2010,13324
46,2011,13704
46,2012,14414
46,2013,14799
46,2014,15707
46,2015,15142
46,2016,15162
46,2017,15421
46,2018,15650
46,2019,15880
47,1961,5577
47,1962,5078
47,1963,5652
47,1964,6186
47,1965,6490
47,1966,8490
47,1967,7850
47,1968,6500
47,1969,9550
47,1970,8850
47,1971,7400
47,1972,10150
47,1973,15453
47,1974,12468
47,1975,9142
47,1976,9472
47,1977,9300
47,1978,6958
47,1979,5954
47,1980,4860
47,1981,5772
47,1982,3514
47,1983,3500
47,1984,2940
47,1985,2270
47,1986,1550
47,1987,1200
47,1988,1050
47,1989,900
47,1990,851
47,1991,813
47,1992,732
47,1993,845
47,1994,550
47,1995,575
47,1996,255
47,1997,288
47,1998,235
47,1999,182
47,2000,200
47,2001,156
47,2002,151
47,2003,105
47,2004,92
47,2005,94
47,2006,73
47,2007,115
47,2008,73
47,2009,34
47,2010,31
47,2011,30
47,2012,31
47,2013,31
47,2014,16
47,2015,12
47,2016,9
47,2017,9
47,2018,9
47,2019,9
48,1961,39200
48,1962,40000
48,1963,42200
48,1964,43800
48,1965,47200
48,1966,49200
48,1967,51200
48,1968,55000
48,1969,57000
48,1970,59100
48,1971,60000
48,1972,62000
48,1973,64000
48,1974,65000
48,1975,68000
48,1976,70000
48,1977,72500
48,1978,74000
48,1979,74000
48,1980,75000
48,1981,76000
48,1982,77000
48,1983,77500
48,1984,77500
48,1985,80000
48,1986,81000
48,1987,81500
48,1988,82450
48,1989,83450
48,1990,125190
48,1991,147719
48,1992,149000
48,1993,175262
48,1994,145073
48,1995,165816
107,1961,7200
107,1962,8800
107,1963,8200
107,1964,7500
107,1965,12500
107,1966,11700
107,1967,16000
107,1968,16500
107,1969,22300
107,1970,31900
107,1971,43300
107,1972,47200
107,1973,58954
107,1974,70714
107,1975,76035
107,1976,78399
107,1977,67780
107,1978,60591
107,1979,58800
107,1980,67100
107,1981,70546
107,1982,68610
107,1983,67501
107,1984,80619
107,1985,65648
107,1986,70565
107,1987,68643
107,1988,60654
107,1989,72522
107,1990,49864
107,1991,64293
107,1992,67466
107,1993,69883
107,1994,70300
107,1995,70185
107,1996,71968
107,1997,73382
107,1998,74680
107,1999,75409
107,2000,77234
107,2001,79376
107,2002,81253
107,2003,86933
107,2004,88315
107,2005,89961
107,2006,91439
107,2007,92186
107,2008,91825
107,2009,92824
107,2010,95341
107,2011,97946
107,2012,100046
107,2013,101522
107,2014,104785
107,2015,107022
107,2016,106702
107,2017,107854
107,2018,109285
107,2019,110715
98,1992,10309
98,1993,12012
98,1994,9319
98,1995,10506
98,1996,21166
98,1997,16779
98,1998,22806
98,1999,19445
98,2000,20261
98,2001,20080
98,2002,17032
98,2003,12003
98,2004,16378
98,2005,8854
98,2006,42894
98,2007,44126
98,2008,50801
98,2009,38260
98,2010,55826
98,2011,42890
98,2012,51544
98,2013,40702
98,2014,65287
98,2015,36445
98,2016,53440
98,2017,19233
98,2018,48040
98,2019,52780
49,1961,93000
49,1962,93000
49,1963,110178
49,1964,119292
49,1965,116213
49,1966,159784
49,1967,143669
49,1968,163823
49,1969,159050
49,1970,163932
49,1971,124221
49,1972,162327
49,1973,175824
49,1974,163641
49,1975,175206
49,2013,169450
49,2014,99310
49,2015,117794
49,2016,121786
49,2017,100961
49,2018,73626
49,2019,62927
50,1961,81573
50,1962,68524
50,1963,95424
50,1964,89824
50,1965,108573
50,1966,113724
50,1967,148875
50,1968,177359
50,1969,178189
50,1970,178138
50,1975,84601
50,1976,84406
50,1977,106798
50,1978,94301
50,1979,104568
50,1980,101382
50,1981,118232
50,1982,130012
50,1983,127300
50,1984,149000
50,1985,131800
50,1986,133400
50,1987,152600
50,1988,134000
50,1989,170500
50,1991,169500
50,1993,167934
50,1994,151300
50,1995,177392
50,1996,151900
50,1997,143455
50,1998,115850
50,1999,143771
50,2000,127622
50,2001,122673
50,2002,138174
50,2003,126342
50,2004,147262
50,2005,142595
50,2006,137226
50,2007,123331
50,2008,112138
50,2009,101474
50,2010,113622
50,2011,129172
50,2012,112800
50,2013,106864
50,2014,106873
50,2015,117368
50,2016,94471
50,2017,80903
50,2018,73580
50,2019,65930
167,2018,0
167,2019,0
250,1961,117828
250,1962,121062
250,1963,124203
250,1964,134554
250,1965,144101
250,1966,135019
250,1967,131129
250,1968,133500
250,1969,138000
250,1970,141800
250,1971,138500
250,1972,149100
250,1973,153400
250,1974,156000
250,1975,158500
250,1976,162100
250,1977,158050
250,1978,156500
250,1979,156100
250,1980,155200
250,1981,157300
250,1982,159800
250,1983,162400
250,1984,164500
250,1985,166600
250,1986,177700
54,2018,0
54,2019,0
72,1990,1003
72,1991,1103
72,1992,1203
72,1993,1303
72,1994,1403
72,1995,1566
72,1996,1604
72,1997,1628
72,1998,1654
72,1999,1704
72,2000,1801
72,2001,1805
72,2002,1842
72,2003,1920
72,2004,1965
72,2005,2014
72,2006,2063
72,2007,2111
72,2008,2160
72,2009,2210
72,2010,2258
72,2011,2307
72,2012,2357
72,2013,2406
72,2014,2453
72,2015,2521
72,2016,2563
72,2017,2613
72,2018,2662
72,2019,2712
55,1961,16700
55,1962,15800
55,1963,14850
55,1964,16000
55,1965,18150
55,1966,16194
55,1967,16250
55,1968,16550
55,1969,16580
55,1970,16800
55,1971,16830
55,1972,17050
55,1973,17180
55,1974,17300
55,1975,18739
55,1976,24111
55,1977,23710
55,1978,21785
55,1979,14955
55,1980,16244
55,1981,17143
55,1982,17926
55,1983,13679
55,1984,14079
55,1985,17357
55,1986,18957
55,1987,29592
55,1988,32822
55,1989,28586
55,1990,21370
55,1991,19013
55,1992,22206
55,1993,16434
55,1994,17300
55,1995,16005
55,1996,27283
55,1997,30298
55,1998,29461
55,1999,27468
55,2000,26179
55,2001,24992
55,2002,24114
55,2003,23719
55,2004,23267
55,2005,23593
55,2006,23346
55,2007,23064
55,2008,22768
55,2009,22523
55,2010,21400
55,2011,22101
55,2012,21150
55,2013,22109
55,2014,21785
55,2015,21283
55,2016,20960
55,2017,20793
55,2018,20634
55,2019,20479
56,1961,59795
56,1962,62606
56,1963,65091
56,1964,66433
56,1965,67895
56,1966,67748
56,1967,69266
