Area Code,Year Code,Value
46,2018,9254
46,2019,9395
47,1961,2000
47,1962,1900
47,1963,1800
47,1964,1800
47,1965,1750
47,1966,1700
47,1967,1650
47,1968,1600
47,1969,1550
47,1970,1500
47,1971,1451
47,1972,1451
47,1973,1350
47,1974,1400
47,1975,1350
47,1976,1000
47,1977,1400
47,1978,1400
47,1979,1400
47,1980,1400
47,1981,1400
47,1982,1450
47,1983,1500
47,1984,1550
47,1985,1400
47,1986,1600
47,1987,1600
47,1988,1650
47,1989,1650
47,1990,1700
47,1991,1700
47,1992,1690
47,1993,2200
47,1994,1500
47,1995,1400
47,1996,1300
47,1997,1200
47,1998,1400
47,1999,1212
47,2000,1075
47,2001,850
47,2002,800
47,2003,550
47,2004,546
47,2005,607
47,2006,603
47,2007,700
47,2008,556
47,2009,480
47,2010,435
47,2011,406
47,2012,379
47,2013,373
47,2014,306
47,2015,270
47,2016,234
47,2017,214
47,2018,194
47,2019,175
48,1994,100
48,1995,100
48,1996,150
48,1997,100
48,1998,100
48,1999,150
48,2000,150
48,2001,100
48,2002,100
48,2003,300
48,2004,350
48,2005,550
48,2006,1050
48,2007,400
48,2008,550
48,2009,250
48,2010,650
48,2011,250
48,2012,300
48,2013,250
48,2014,600
48,2015,500
48,2016,600
48,2017,450
48,2018,650
48,2019,601
107,1961,17000
107,1962,18000
107,1963,18000
107,1964,19000
107,1965,20000
107,1966,20500
107,1967,21000
107,1968,21000
107,1969,21000
107,1970,21000
107,1971,21000
107,1972,21000
107,1973,21000
107,1974,22600
107,1975,24000
107,1976,22000
107,1977,20000
107,1978,18000
107,1979,16000
107,1980,14000
107,1981,12000
107,1982,12000
107,1983,12000
107,1984,12000
107,1985,15000
107,1986,20000
107,1987,25000
107,1988,30000
107,1989,33000
107,1990,36000
107,1991,36000
107,1992,36000
107,1993,36000
107,1994,36000
107,1995,38200
107,1996,39000
107,1997,48712
107,1998,49757
107,1999,50824
107,2000,51914
107,2001,53028
107,2002,54141
107,2003,44223
107,2004,44921
107,2005,46403
107,2006,47935
107,2007,49517
107,2008,51002
107,2009,45580
107,2010,47039
107,2011,45139
